xr_θ0,bh_Σ1,mk_ψ22,mk_μ3,fp_δ94,fp_ψ25,gy_μ6
0.257063,2.647632,-41.134754,9.835631,-0.427262,2.019633,12.238484
1.030701,14.108499,-39.742334,3.643802,0.881459,-4.121852,15.088734
0.347168,6.152095,-26.120354,6.106651,0.320114,0.411739,13.943706
-0.97861,2.049476,-33.613911,-1.253708,-0.615444,-3.736815,12.898856
1.0,-4.109804,-24.963833,3.868718,0.359025,-1.969741,13.828333
1.0,20.73956,-40.389532,3.764311,-0.086292,-0.861297,13.534225
-2.247964,-0.745298,-24.515023,-1.126288,0.893905,-2.816603,15.056979
-1.0,8.688409,-22.809214,-3.606664,-0.158167,-2.952583,11.525447
1.0,8.132729,-30.737152,11.314613,-0.085837,1.45124,13.344967
-0.410845,0.595669,-31.190296,3.876286,-0.400736,4.360203,10.962174
-1.0,-6.047597,-33.146637,-11.115065,0.28004,-0.184517,12.077037
1.513158,2.434301,-41.015154,-1.11239,0.825116,-1.360298,14.891435
0.0,5.760173,-30.567343,3.005693,1.370812,-2.995612,13.1171
0.693404,4.541621,-24.060289,-2.302025,-0.050265,-4.445793,10.910583
-0.829039,5.520898,-36.335857,4.033972,0.350668,4.611819,12.365657
1.307537,10.169433,-23.715423,10.70689,0.451518,2.761719,12.94393
-1.0,11.016185,-27.214661,2.129973,0.402718,-8.857357,11.647444
-1.5301,1.683684,-28.137381,3.986534,0.737367,-8.894378,13.663096
-1.0,3.763472,-39.633001,1.210782,-0.488021,-1.127225,15.578497
0.0,-1.070787,-24.283976,2.286539,-0.824911,6.452849,13.965634
0.172698,10.887772,-26.553852,-0.207485,-0.560689,0.777694,15.646031
1.0,5.167696,-38.258484,3.411892,-0.732676,-4.73539,14.470419
0.0,5.07097,-22.610814,4.181127,1.575248,6.093508,15.655822
1.282643,4.873066,-38.18687,0.827859,-0.738179,4.248337,13.088806
1.0,-7.698761,-33.502505,1.04918,-1.323172,-1.785398,12.216133
-1.0,4.04202,-38.961126,-2.429234,1.435451,-2.066592,15.144336
0.0,10.442941,-33.585874,12.976056,0.657497,-8.654634,15.466167
-1.236931,-0.91511,-24.628795,-2.748466,0.346054,5.762708,12.194193
-1.474368,0.116959,-27.361298,6.156096,-0.259177,-2.49215,11.013752
0.0,-5.579918,-36.162137,-2.004945,-0.131858,-0.475881,13.738915
1.595503,4.832719,-30.71791,1.228091,-0.185801,1.493785,12.026578
1.0,14.572437,-40.133406,8.905562,-0.028962,-2.403842,11.964944
-1.0,-5.209316,-34.334488,3.906544,0.207217,-2.944816,12.472715
0.0,0.282659,-35.051985,-5.401831,-1.027384,1.652285,10.921908
1.0,6.480806,-37.156166,4.731189,-0.080942,-7.583037,15.39263
-0.032078,1.17006,-31.400903,-3.100546,-0.360927,-3.328912,13.127716
0.068816,9.179124,-32.849718,2.976079,1.074062,-2.715621,11.21404
0.0,-0.158672,-36.318865,0.037325,-0.320166,2.304428,11.089655
0.0,3.235803,-23.32341,-6.505239,-0.036886,8.070672,13.182022
-0.533538,5.808099,-34.100514,-2.687051,-0.044067,1.214413,12.954856
-1.354225,-4.218113,-34.265726,15.448569,0.305564,4.805219,12.653333
0.298468,2.518533,-30.013531,2.007569,0.263913,-4.600649,13.423637
-1.0,-2.334863,-36.854947,13.577801,0.863207,-1.027272,12.838804
0.0,4.190687,-23.93725,12.273933,0.337155,1.264641,13.979466
1.0,-3.010306,-35.541954,-3.15295,-0.157442,-1.514557,12.660116
0.0,3.638694,-35.249705,-0.728936,0.517479,2.771076,11.86683
1.0,1.808807,-23.258538,1.711322,-1.532704,4.271447,10.658568
1.0,13.334174,-28.497509,10.503536,0.366399,3.127343,15.045039
1.351394,7.126396,-38.811249,0.769712,-0.016962,-11.108094,12.516002
1.0,2.151461,-39.446269,-5.310019,0.932287,0.053417,14.929184
-0.476473,8.766016,-35.662836,-6.180922,-0.34092,-6.248091,15.073203
1.0,8.787661,-40.760087,-3.982869,0.711312,-3.061057,15.035325
0.129142,2.83594,-27.705621,2.575159,-0.008627,-3.20761,13.983806
0.0,-0.997805,-30.307918,2.313699,0.88939,-2.43544,10.606115
0.0,10.44089,-26.768825,2.885563,-0.018531,-1.754709,15.502446
-0.408894,6.505365,-28.080577,13.667515,-0.690823,-6.371458,12.99081
-1.0,-0.836195,-29.668629,2.629062,-0.635542,4.422547,12.088501
-1.0,2.706402,-41.107447,10.996127,0.483003,-3.145845,10.527621
-1.764272,5.204335,-22.059394,-0.771558,-0.609772,-5.5637,13.915982
0.0,8.067887,-34.235714,-5.007595,-0.471229,1.900719,15.614884
0.629878,-2.12661,-23.681968,11.713514,-0.436619,-0.496833,12.620314
-1.0,4.780114,-36.343902,6.605359,-0.047028,-2.557439,11.82213
1.0,10.273034,-27.426268,-3.122875,0.585272,-3.920693,11.536422
0.0,8.2621,-26.434162,-2.332276,-0.013663,-4.864585,12.162265
-1.40403,-2.120577,-30.463892,-2.915635,-0.304712,-3.306725,10.847863
-0.499528,-3.606824,-28.796702,-5.644153,-0.972515,-2.690769,12.638359
0.0,9.814747,-23.33135,1.294046,-0.675194,-5.066469,13.411576
-1.0,7.662099,-25.633225,0.145903,-0.192873,-0.848843,13.653373
1.0,2.253555,-32.850817,10.418952,-1.580581,-11.33857,14.598872
-0.973539,9.22237,-37.2231,4.413226,-0.402004,0.038681,12.721906
-1.0,-2.873182,-22.872577,5.166822,0.897554,-6.088184,15.339338
0.44989,-1.793658,-40.494675,7.81608,0.960098,-2.346488,11.500553
0.583664,3.196844,-25.943245,3.358844,1.247373,-7.261649,10.516907
1.0,3.822736,-32.675399,-2.422086,-0.170958,-5.045805,13.790603
0.931754,9.07444,-31.710862,-1.812729,-0.2379,-1.82213,13.172352
0.881926,-3.653715,-25.094545,1.093324,0.348755,-7.681397,13.184683
-1.241774,-0.33567,-40.904205,-2.496987,-0.65459,4.374944,11.444625
-1.0,2.924701,-32.903879,-0.17001,-0.742171,-0.657132,11.849317
0.0,1.109984,-38.61401,7.225629,0.759311,6.96222,11.771681
1.0,-0.59834,-27.000441,0.959414,1.102224,-2.321708,13.902005
-1.682915,3.2523,-37.454814,-2.161543,-0.427625,1.995178,15.759754
0.061524,6.582885,-38.936908,2.188042,0.816799,0.33367,13.323754
0.617686,0.442203,-26.776404,-0.956041,0.03147,5.791351,12.530764
-1.0,12.99519,-26.234654,7.900184,0.137647,-3.150175,13.151685
-0.955918,0.346984,-24.190024,-3.441187,0.199238,2.871004,11.527049
-0.909653,0.16476,-36.646566,-4.993223,0.672923,-3.194067,12.062185
1.0,11.509985,-22.014222,2.351883,-0.339297,-7.631429,14.927443
-0.640648,-2.540884,-37.45212,6.621884,-0.185919,-1.11072,11.421372
1.0,3.343782,-26.1279,1.953804,-0.214988,1.54787,10.894721
1.0,7.456692,-33.494729,6.748889,-0.604646,-9.019971,13.871124
1.0,22.358515,-26.3099,11.84224,1.748533,-0.395669,15.163606
-0.388879,-7.582385,-33.14973,3.652065,1.08269,2.316957,13.157078
1.0,1.178318,-22.432388,8.876788,-0.164298,0.013801,14.793262
-1.0,2.74243,-35.796008,14.661745,-0.582842,0.278347,10.784162
-2.010273,0.124627,-26.867915,-3.031512,0.953643,-5.229003,12.091254
1.0,9.227524,-25.12358,-0.7439,-0.573043,-3.556845,10.911297
0.013452,7.294813,-37.866551,-1.391659,0.220344,9.683839,12.470985
-0.883957,8.900808,-28.659102,6.295814,-0.526501,2.618023,11.322252
-1.0,-7.106236,-33.166082,-0.991281,-0.057203,-0.956222,11.557547
-1.291863,10.952224,-26.427753,2.282621,0.343416,-4.23428,11.763843
-1.0,-0.818872,-31.634597,11.626657,-1.461953,-5.01347,13.662853
0.0,-2.032536,-39.635116,5.175719,-0.850815,-0.515183,13.164062
0.0,-1.040397,-30.424264,-2.998111,-0.204699,-1.587851,13.922622
1.0,2.131923,-31.624975,2.490196,-1.156974,7.37576,14.613691
1.059889,-2.057289,-39.671861,9.193475,-0.104058,0.524389,12.351528
-0.153122,-14.53275,-29.783648,-0.271172,0.349624,-2.296114,11.365382
-0.498511,7.767141,-24.985296,-2.375603,0.269881,-3.430405,12.283607
0.451901,8.819293,-26.786325,2.375999,0.261007,4.546207,10.67795
0.261013,11.609697,-29.114968,-1.437381,-0.0251,-2.430485,13.306956
-0.579615,-7.992236,-24.196079,-1.215658,-0.00703,-4.633443,10.75177
-1.0,3.632068,-27.949928,-7.150039,-0.39182,-1.086318,13.336326
-1.0,3.499662,-26.690627,1.19362,-0.0783,-1.664295,15.137704
0.187651,-5.030449,-36.512094,10.364242,-0.552908,-3.493371,12.224963
-1.1432,-2.167693,-29.758375,2.539251,0.656646,-2.648397,10.675397
-1.080196,-2.707261,-31.246934,4.914932,0.350735,-3.115309,12.739678
-1.0,5.684402,-33.024008,-9.019742,-0.950182,-2.451393,11.227881
-0.210437,5.227255,-37.407175,2.921778,-0.048481,-4.94457,15.631596
0.0,17.718355,-24.718384,6.562667,-0.656901,2.692894,11.142576
0.0,5.564931,-34.054391,3.928936,-0.287824,2.139138,14.679124
1.0,3.882846,-34.406846,8.115149,0.059785,3.188217,11.045918
0.199655,-2.497336,-31.961134,0.82274,0.269035,-0.295168,11.860846
0.283873,6.231788,-38.981744,3.762209,-0.651806,-4.614725,13.531712
1.0,3.424008,-27.342674,-8.449934,-1.261573,2.445562,12.127371
-1.015875,2.633236,-28.214414,2.121747,0.213665,-13.385186,11.128248
0.353814,6.654544,-24.601384,1.798006,0.653675,1.806748,14.631303
-1.0,3.315477,-31.540403,7.042873,0.918451,3.817958,13.00159
1.0,-0.822928,-28.066434,-1.740166,-0.695578,-0.351233,12.613593
0.0,-0.406856,-29.57007,-4.361655,-0.338476,-0.439029,13.514082
0.163432,4.950876,-24.112253,-2.245573,0.236062,1.033253,15.547418
0.730818,11.990492,-38.331542,3.123951,-0.552297,9.748381,14.333569
1.67635,4.293486,-36.852772,-3.026296,-0.237714,-5.374376,10.534833
0.342731,-4.362236,-25.595077,1.053823,-0.70789,1.562991,12.021164
-1.471054,16.262295,-38.541549,-8.218159,0.390966,0.9824,11.557081
-1.26421,9.347796,-41.077609,14.811835,-1.690578,1.745395,15.150128
-1.0,-5.244059,-25.871442,8.924264,-0.206243,0.115801,13.73922
-1.0,9.496651,-28.173749,5.340582,-1.140112,1.409489,11.018607
-0.003872,6.782863,-25.267846,1.428878,-0.649643,0.122089,10.780407
0.875043,9.243045,-40.863885,0.49906,-0.429561,4.256984,14.173316
0.088002,5.273467,-31.225124,0.258749,0.609727,4.19152,10.921569
-1.0,-1.678219,-22.625716,0.896979,1.63218,2.053056,14.6092
0.182702,5.341669,-23.260987,10.241204,-0.11853,-3.717622,13.046266
0.0,3.30072,-36.766463,8.426851,0.084638,-2.46181,11.384247
0.0,11.595926,-36.087963,14.01818,-0.329142,2.130138,11.410679
0.0,7.945958,-25.117221,4.79801,0.828968,-1.338463,12.339936
1.699073,1.03663,-25.796841,5.050107,-0.943434,-0.317135,12.117025
-1.0,4.770525,-37.27258,-1.62668,0.318558,-2.542618,12.062893
0.088411,-5.421257,-41.080579,4.729591,-0.084777,-4.267079,11.79096
1.0,-9.51273,-23.889959,-0.339058,0.180917,-3.909765,12.187099
-1.0,8.541779,-40.083601,5.048946,0.593341,0.219164,13.757839
-0.892041,2.649152,-30.880366,10.026178,0.478588,-7.173605,12.641949
-1.0,13.45869,-32.791559,-1.800292,-1.150615,-2.759627,13.650485
0.0,0.198072,-22.522281,17.886748,0.282803,4.913836,15.779275
0.0,12.002559,-28.250327,16.261609,0.448691,-4.680906,13.231732
-1.0,-6.38341,-30.147983,-2.386805,-0.242737,-1.273716,12.89942
0.0,-3.331229,-37.146656,3.512488,0.104121,-4.022439,15.123804
0.0,-4.747863,-40.773361,5.889396,0.741517,1.103366,11.916139
0.345906,-0.057758,-31.230015,1.708487,-1.111251,-2.079297,10.948036
-1.0,-9.179587,-27.114143,-0.715086,0.687305,-1.790848,10.648745
0.0,11.832372,-31.605841,1.827702,0.111398,-5.34365,10.934281
2.181419,2.924432,-30.340434,5.845804,0.45991,-2.625101,10.42913
-0.734476,6.017533,-40.847939,-1.335264,-0.339994,-3.403745,12.200824
0.258808,8.677528,-31.397657,5.255956,-1.729665,0.751558,11.244677
-1.0,7.303074,-37.16194,0.823549,0.980354,0.55142,12.069979
0.583478,-0.292264,-22.399596,9.165882,0.111152,-5.399333,14.083561
-1.599179,1.684973,-38.144577,2.980251,-0.662553,0.479076,13.876476
-1.086,1.128144,-33.675391,-2.340064,0.448657,2.387364,13.28281
0.050117,1.445532,-34.54455,5.006076,0.048674,-0.485185,10.616688
-1.058684,-2.030361,-33.80613,-10.164926,-0.287532,1.203763,10.98017
-1.353371,7.59243,-33.046049,4.660408,-0.059958,4.27908,14.091569
2.037676,-0.542265,-33.906544,5.724932,-0.340901,-0.302766,12.074175
-1.0,1.417348,-23.127615,-6.451667,-0.828655,-2.821447,11.308134
0.543188,2.701412,-34.267554,3.929914,-0.765181,-0.409278,15.522842
0.0,6.032013,-23.465904,-9.813954,0.089819,5.555449,12.569996
0.0,-2.048829,-40.074831,2.495108,0.301289,1.316107,10.556348
1.75303,9.034247,-24.476163,2.385196,-0.554377,1.551742,12.756791
-1.0,0.485009,-29.934431,7.731388,-1.473841,-5.830925,14.169119
1.049698,9.510945,-32.947492,-1.991121,-1.196633,-1.919839,14.977272
0.0,3.046674,-24.263119,-6.029198,-1.362969,-10.579836,10.972453
2.245154,15.223965,-36.062198,0.714025,0.307966,3.493539,13.037123
0.022033,7.829275,-29.872217,-1.319416,-0.916318,-0.831058,13.028906
0.195025,12.492805,-37.794912,1.671651,0.020668,0.157401,14.916762
0.249294,0.407016,-37.428122,0.225902,0.478284,0.123723,11.066806
-1.0,3.592936,-25.898863,0.204743,-0.29949,1.03992,15.106348
-1.0,5.455135,-32.572145,-4.422687,-0.513732,-1.010044,11.597735
-1.0,3.717428,-35.650193,-2.039723,-1.566674,-5.5324,13.823241
-1.0,5.244005,-37.896473,2.03601,-0.353503,2.835564,12.096159
0.377803,12.62267,-33.520694,6.065185,1.12731,-4.363144,13.75156
-1.0,7.400826,-40.885592,-1.914018,-0.592065,-7.614218,12.181223
-0.449207,-0.713505,-23.913415,4.28838,1.22137,-1.479548,14.21138
0.0,-0.922899,-23.363829,-0.087889,-0.276841,-1.773625,15.190382
0.387873,4.00046,-27.823876,-0.293753,0.089866,-0.162597,14.142255
0.890936,1.099181,-36.500136,5.707232,1.08682,-2.194212,12.351252
-0.122829,-0.99263,-41.2126,-1.702494,0.788357,-1.690757,11.022598
-0.522414,-6.452508,-34.86345,3.824267,-0.406944,-3.561341,10.830296
-1.0,8.380648,-34.032657,0.130465,-0.395293,-6.943129,14.8157
1.0,7.723853,-26.181963,-4.449722,0.754868,-2.954992,15.32135
-1.32826,5.994598,-38.619777,3.375265,-0.421218,-1.949954,12.805394
0.566636,7.154583,-30.873473,14.852254,-0.634501,5.650888,13.1195
0.81527,9.644439,-31.162395,-5.204108,-0.69925,-1.083189,10.49333
0.0,5.278563,-23.630682,-1.174524,-0.158777,-5.001903,12.933164
0.779038,1.8571,-29.616129,-4.1568,-0.024401,-5.963733,14.877668
-0.236296,2.950021,-37.76773,-2.864225,1.384406,7.108829,11.304698
-0.771163,0.222063,-29.478393,-4.120063,-0.174291,0.384211,15.761932
0.8718,-2.021773,-29.558497,4.039789,-0.195007,-0.348193,12.480221
0.0,8.410401,-35.59105,-1.606641,-0.661748,10.209352,13.04473
0.153245,-0.365093,-25.168436,8.441891,0.010154,2.988098,12.124315
-0.126834,13.085338,-31.029987,-5.972556,-0.797927,-3.554294,15.055269
-0.515789,2.178711,-24.687046,10.507158,-0.415233,-1.433157,13.551922
1.0,8.651136,-23.235492,2.500201,1.187061,0.713115,11.095765
0.0,0.020658,-27.680277,3.590451,0.806877,-3.227329,15.45417
0.906878,-0.414315,-31.125096,-5.119714,-1.213308,-1.935501,11.434797
-1.0,7.824581,-34.797501,-1.184188,-1.7184,-7.751654,12.076006
0.0,8.573134,-33.179204,-3.403598,1.114586,0.286975,15.260619
-1.0,9.126399,-29.573492,12.074741,-0.223636,2.241251,11.41922
0.0,1.784179,-32.265949,3.803846,0.943074,1.846616,13.145001
0.822172,8.006103,-22.790466,3.733102,0.331393,1.110318,11.612577
1.0,0.945902,-40.54156,6.86008,-0.209207,-5.091827,12.368853
-1.0,11.075515,-24.907393,-1.184075,-1.426999,-1.461891,14.268646
0.061785,4.153955,-23.281274,5.830876,-1.462614,0.153515,15.416094
-0.212147,-0.484614,-40.77352,8.006203,0.850023,-7.707294,15.661699
1.0,2.327762,-36.431041,3.737193,-0.832537,0.632942,11.868571
1.364696,8.907863,-28.467214,-1.072065,-0.315654,2.199392,11.945427
1.676388,4.489288,-34.49412,2.348344,-1.473972,1.928449,12.377556
-1.0,13.890359,-28.755031,4.335828,-1.141187,-1.46038,13.872791
-1.0,7.952809,-27.902467,6.126656,-0.567875,-3.935606,14.419083
-0.124899,-12.422621,-26.422968,-8.534383,1.061109,0.438519,15.116093
-1.0,3.238377,-33.54364,-6.1874,0.611988,-11.950388,12.163769
-0.966027,3.988253,-31.86788,-2.174058,0.017515,3.513552,13.579283
-0.602159,1.341165,-22.816699,7.200338,1.008527,7.214706,15.446731
1.0,-4.506174,-37.004281,1.848812,-0.481895,-1.790869,15.778576
0.0,2.839567,-36.949879,7.340553,-0.011685,-1.537507,12.226188
0.0,16.264239,-39.713878,-6.724896,1.335935,1.462229,10.424243
1.0,-2.740313,-26.540987,3.454308,1.62368,-4.498522,13.275506
0.0,3.068343,-22.467729,4.459334,1.029092,-5.140703,12.548793
1.520982,1.996932,-27.697149,-2.648797,-0.245226,-3.181484,11.84332
0.175364,7.122216,-23.42745,6.885659,0.922331,3.767404,14.476733
1.543623,0.924473,-35.98331,12.852917,0.458574,-0.990266,10.756672
1.204015,2.05359,-24.490124,2.256609,-0.407481,1.888264,10.880106
1.0,5.327565,-35.229405,4.992353,0.090963,-3.472414,12.354331
-1.0,-7.52329,-27.315185,7.434275,-0.605178,-0.755432,14.707534
-1.0,-2.129858,-22.802219,2.646663,-0.342733,2.407363,13.685552
0.172171,10.141833,-24.68798,2.730334,0.28386,-3.434182,12.053322
1.0,11.837015,-22.663415,-3.12285,-0.351114,-6.718392,13.775102
-1.207811,0.002464,-30.724779,-4.883104,-0.624353,-1.412722,13.259089
-0.155919,-2.842007,-32.25959,4.015323,-0.646823,0.26839,12.409093
-1.0,-5.856368,-38.072245,-9.943971,1.035348,-5.015106,13.32708
-1.190956,7.381645,-34.477843,-2.129029,-0.85145,0.873689,11.898944
0.0,2.187759,-28.165096,11.54975,-0.331314,2.749299,14.262517
-1.0,8.310348,-29.537626,-3.227562,-1.11712,-3.63844,10.993291
-0.217155,8.384933,-22.645334,8.495684,0.643571,-7.388851,13.793132
0.218108,1.9567,-33.932938,-4.200676,-0.987535,-3.168597,11.470523
-1.0,8.805346,-32.796257,5.380771,0.811193,-5.621627,12.81423
-1.482349,4.069706,-35.831958,-1.069655,-2.105849,3.133474,15.51868
-0.221133,-2.342207,-27.188872,-8.360699,-0.518595,-0.376905,14.462591
1.528735,0.520812,-27.089814,5.528001,-0.200634,-3.261932,10.457256
-1.273067,7.14004,-40.982423,-6.34793,1.285309,8.458936,10.745376
-1.0,2.36166,-31.809261,-4.211932,0.352104,-5.365507,14.640823
0.0,7.373684,-32.303589,7.966944,0.567164,2.269984,12.617512
-1.237318,2.402311,-24.306429,-1.103268,0.27412,-5.539435,11.789554
0.0,5.37478,-37.106342,7.728434,0.222869,-3.329725,15.755142
1.0,8.213143,-31.729653,3.246822,0.785465,-4.927939,12.840086
0.496515,8.515836,-30.396582,6.555335,-0.489372,5.01255,11.893233
0.198332,8.754523,-30.117575,1.54293,-0.662614,4.522055,15.322631
-2.17105,-8.550636,-30.70221,-0.722409,-0.200842,3.610208,14.238362
0.25846,12.369323,-26.828855,2.332659,-0.049436,-4.397037,14.651258
1.488802,8.244198,-32.998399,3.827255,0.120529,3.974344,13.483798
0.290768,7.563475,-35.011263,-2.290702,-0.622544,1.656863,14.383508
-1.0,0.648715,-22.36766,-9.655517,-0.848741,-1.624992,13.48244
0.0,1.194614,-33.60226,-0.952448,-0.969204,9.091483,11.546864
1.0,0.696621,-29.897411,10.573029,0.243938,-1.830248,11.68808
1.0,5.452605,-38.802625,4.866844,-0.580795,1.042735,15.714545
0.380208,-1.439524,-26.492693,5.306412,0.221968,-6.019862,12.411052
1.0,0.049187,-38.942078,5.877421,0.488748,-4.783178,13.625591
-1.0,-1.311436,-28.32398,-10.801948,-0.978318,1.231302,14.766747
0.0,3.737821,-30.625573,3.223449,-0.078491,1.33396,13.290327
0.0,7.851307,-27.071375,-3.145151,1.971533,-3.680541,11.440423
0.0,8.836609,-40.849571,4.469127,1.181182,1.84137,11.617938
1.747063,8.014687,-24.334259,1.41288,-1.347403,-1.71981,15.428814
0.194308,10.570763,-39.35317,5.119258,-1.008208,-4.604198,15.116982
1.025812,-2.45383,-27.282196,3.292232,1.213474,1.213205,14.352466
-1.0,-2.661516,-28.390386,4.967842,0.381681,5.325699,11.412451
0.0,-0.628881,-31.390966,2.201106,-0.175826,-1.783796,12.718591
-0.324612,18.935768,-29.070215,5.451504,1.401654,-1.225871,13.209026
1.0,7.535518,-40.946934,-9.867884,1.352728,-0.586863,12.890999
-1.64037,5.159895,-25.085238,-2.119368,0.91234,1.652082,15.508848
-1.171149,-3.017228,-40.908868,5.383717,-0.500651,-9.714103,15.088161
-0.185866,12.295203,-35.909076,-5.637029,0.037956,-0.672395,15.575391
0.70937,2.043391,-39.013221,9.888991,-1.119121,-3.664254,13.191241
0.0,4.146308,-22.449605,9.748378,-0.365222,-3.192606,12.481784
-1.0,8.7208,-36.987191,9.903605,1.221709,-0.097761,14.584938
-1.0,7.576554,-30.684626,6.978494,0.523144,0.747377,15.33329
1.0,13.701684,-23.933565,-1.803347,-1.124233,1.578409,15.005554
0.0,7.756547,-25.874534,-4.12299,-0.25122,-1.090898,11.260985
0.0,-0.564187,-25.528881,3.984477,-0.182705,-6.02188,13.192141
1.0,4.221161,-31.583762,4.061823,-0.844126,-1.675428,11.624568
0.0,4.994167,-29.452783,-2.070903,-0.410002,-6.781544,14.890316
0.0,-7.146046,-40.355564,0.467196,0.314602,-4.161814,13.631082
-0.738585,-3.522821,-27.413553,4.196239,-0.567101,0.920096,10.887476
0.109533,-2.695269,-39.132913,-2.620719,-0.585159,0.547862,13.192882
0.0,7.2837,-37.195827,2.429098,-0.826464,5.403597,12.556464
2.665618,5.39772,-36.576692,8.166794,-0.272921,8.414709,15.202047
-1.0,6.249749,-30.896553,9.500462,-0.887347,-0.713177,13.874003
1.0,5.431311,-37.897983,6.508236,-1.278402,-7.628509,11.866325
0.363062,6.560662,-36.257013,14.320699,-0.779631,0.066431,15.434925
1.173293,17.171961,-23.14422,1.258824,-0.544211,0.107394,11.379858
0.694999,-3.369127,-38.166084,2.335771,-0.030932,-0.50171,10.446997
-1.356081,-7.589049,-32.329316,9.619987,-0.364382,2.328745,14.437213
-0.625944,7.43875,-22.402721,2.200031,-0.488323,4.230786,12.70653
-1.0,0.650758,-34.653688,6.363991,0.243867,-6.391055,15.183697
-1.0,-3.637277,-29.104507,5.835619,-0.185997,-0.736941,10.497152
0.0,1.565075,-28.275227,-1.480811,-0.223803,-0.249125,11.832681
-0.116849,5.2828,-34.252876,-1.212592,-0.167897,2.006042,13.660057
1.0,4.179287,-27.00421,0.074892,0.398043,0.932654,14.003697
-2.491226,2.320888,-25.255178,2.188292,0.90674,-2.56813,11.023186
