dw_ψ20,gy_φ11,jl_λ72,bh_μ3,mk_ξ4,bh_μ5,xr_λ76
-1.0,25.412365,-6.701548,-48.776186,50.158172,1.895198,0.0
0.0,-2.117491,-2.559455,-27.596403,75.987204,1.321145,-0.185054
-0.142294,8.735875,-5.042738,-69.826538,76.165053,1.606747,0.0
1.0,-1.694959,-3.430123,-54.115209,50.947606,1.449722,0.0
1.0,8.976825,-8.022739,-55.064308,77.391744,1.460752,1.220483
0.0,2.046004,-3.168855,-46.578967,47.518388,1.162569,0.0
-0.254511,24.91084,-5.193966,-47.493961,50.707273,1.613962,1.0
-0.590316,16.128598,-5.434428,-26.287831,52.323094,1.201498,0.845519
0.197338,25.67847,-5.687367,-32.056939,79.827231,1.680355,-0.868868
-2.470072,10.557901,-6.108492,-13.582691,60.066112,2.458937,0.247518
0.441982,6.850581,-5.637636,-25.12563,79.679664,1.774841,0.568536
1.0,22.826131,0.53291,-0.788257,66.605113,2.286037,1.206635
0.0,30.566508,-6.101829,-34.174859,53.390747,1.368619,1.050469
-2.043298,20.031026,-5.645574,-76.878921,60.117157,1.222861,0.14069
0.0,5.440307,-8.416584,-9.319805,53.045162,0.853247,0.85969
0.886275,0.501113,-4.759389,-59.550081,79.866261,0.975652,0.0
0.815839,9.705893,-4.248644,-56.94058,52.932395,1.749817,-1.539481
-0.109638,10.055982,-2.199868,-16.171349,54.721925,2.535566,0.0
0.252147,-3.520903,-12.62708,-23.08517,67.143955,1.703208,0.353737
-1.432037,-0.744856,-9.091123,-50.340087,75.77399,2.441806,-1.0
-1.0,21.174515,-3.119987,-11.412082,53.654234,1.604998,0.0
-1.170933,10.821868,-4.39368,-76.797944,74.026656,2.413484,0.98902
-1.639612,9.25961,-2.762285,-4.580256,78.552248,1.253297,-0.665037
0.0,1.605342,-4.997642,-27.31611,64.628263,1.871412,-1.0
-0.692489,7.544844,-2.543983,-73.772302,64.409535,1.474308,1.0
0.387029,26.143845,-4.19609,-68.909324,45.802325,1.557301,0.0
-0.474044,9.807124,-1.435439,-51.589564,57.002654,1.667293,-0.503703
-1.0,13.300718,0.397719,-48.02928,53.905754,0.798895,1.046379
1.0,19.134385,-3.240922,-54.826166,45.73734,2.050189,1.403582
2.198585,19.797234,-4.417283,-9.386317,62.964348,2.620507,0.837308
1.0,13.798043,3.393239,-75.070249,69.90232,1.74419,-1.22788
-0.293886,15.435713,-7.407686,-12.85735,54.524486,1.426669,0.256605
-1.0,8.003196,-8.927386,-6.235858,79.667413,1.619591,1.0
-0.068329,21.519273,-4.233761,-83.791406,53.136743,1.127697,0.0
1.0,-1.667567,-0.810741,-89.25119,60.283224,1.237578,1.0
-1.252417,6.329498,-4.447652,-51.899292,48.017011,0.78868,1.0
1.0,-3.456754,-6.89964,-91.858224,73.702044,1.342223,1.844301
-1.0,-1.50649,-2.241097,-43.641455,47.009515,2.005768,-0.547976
-0.962119,29.125814,-3.082049,-47.739626,51.637865,1.328261,-0.429429
-0.706549,6.799095,-9.641397,-32.682432,75.513963,2.092218,-1.0
0.459203,30.775656,-7.092532,-28.832138,68.505831,2.952991,-1.0
-1.0,0.590628,-7.205872,-51.77511,48.284644,1.035283,-0.957298
0.064966,25.554536,0.626332,-35.244734,47.825163,1.548702,-0.69137
1.0,0.328591,-1.865952,-49.629344,60.250968,2.063611,1.0
0.0,30.039921,-7.196626,-59.291836,65.912858,1.710183,0.410044
-1.0,23.28155,-9.718817,-0.947338,58.268098,1.847628,0.061608
0.096266,5.757232,-6.524336,-65.03229,63.63611,2.311269,0.268478
0.0,-1.335899,-1.389529,-35.542441,47.354355,1.62451,1.204795
1.44323,13.709145,-4.373079,-84.842303,57.579922,0.865052,-1.0
-0.463875,18.296173,1.408076,-70.232928,46.164221,1.514163,0.338826
-1.0,16.570157,-5.756457,-23.657268,78.093342,3.439993,1.0
1.0,17.493844,-5.85544,-25.534486,63.527266,1.10274,-0.21776
-1.0,27.718193,1.281259,-34.5265,66.735605,1.160751,0.423596
-1.0,29.599482,-1.520732,-27.495214,44.521169,1.987002,-1.0
0.010801,11.418562,1.875583,-40.290715,71.273416,2.164125,-0.633781
-1.0,-3.492487,-2.756265,-60.536817,48.083561,1.772691,-1.0
2.121034,29.0794,-7.789354,-16.894839,67.260109,2.546772,-0.592023
1.317681,18.105445,-9.50007,-15.940476,44.313873,2.639174,1.0
0.82343,15.773997,-5.134114,-66.204345,67.420095,1.5251,0.765482
1.165734,-0.397784,-8.582372,-54.719173,65.071975,1.870595,-2.258534
1.0,-1.954787,-3.463295,-27.593442,56.08274,2.203282,0.07812
-0.039339,28.6765,0.104118,-26.364432,44.956519,2.166647,-0.011764
1.0,8.358424,-5.147203,-18.637974,79.047123,1.892786,1.127408
-1.279726,20.570531,-7.826392,-51.338239,51.02697,1.577174,-0.746266
0.0,9.548471,2.643503,-52.961836,67.781459,1.470339,-0.162701
-1.0,6.772214,-2.291102,-18.981829,77.007164,1.547256,0.0
0.468376,2.480238,0.526911,-64.564611,49.909192,1.726092,-0.117513
-0.28411,6.184853,-8.218923,-60.160324,46.842863,1.586237,1.303765
-1.0,15.929226,-0.881417,-38.003792,47.037293,1.819214,-1.235737
-1.0,19.052467,-1.654155,-53.508542,58.675213,2.274361,0.0
0.796582,2.057052,-6.748738,-36.28059,63.056494,2.008425,-1.0
-1.0,18.730708,-5.922152,-47.080078,49.780408,2.568683,1.0
-1.0,29.452015,-10.484464,-53.585181,44.835353,0.602901,1.0
1.329554,13.822915,-6.971659,-91.67105,57.255557,1.032144,0.0
1.191546,18.51249,-6.436677,-46.343854,44.316764,2.188741,-1.178307
0.657964,20.544862,-4.388856,-16.302404,79.505165,2.601933,-2.010855
-0.844757,-1.66546,-0.397313,-22.185363,78.115695,1.703432,0.569057
-1.0,21.921442,-5.004825,-11.196595,49.20861,2.636751,-1.089076
-1.0,23.904532,-7.094904,-62.308714,47.438182,2.188524,0.173161
-0.365235,4.315109,-4.793947,-60.377162,65.957424,1.652101,-1.0
1.0,23.773151,-2.332077,-58.284673,55.385797,2.395549,-0.329736
0.483359,22.095855,-4.434939,-75.359684,76.36686,1.747176,-0.168054
-1.0,24.266804,-4.018441,-19.184954,67.36065,1.215204,-1.0
0.0,10.459989,-10.376413,-80.173888,66.714816,1.819252,-0.639123
1.0,17.63989,-6.783615,-44.714643,64.497381,2.27864,-1.0
1.0,8.450231,-8.241367,-59.804039,73.974136,2.710047,-0.597778
-1.198609,20.642962,-2.691791,-23.093788,77.754483,1.305566,0.0
0.0,3.402429,-9.53063,-72.047016,63.426655,1.857277,0.820874
1.0,6.818781,1.564957,-30.128556,48.238295,2.114779,-2.853829
-1.0,13.32448,-4.375794,-85.656827,60.488237,1.414849,2.935223
-0.032038,-3.459579,-1.345561,-14.647624,66.924099,3.357916,0.0
-1.0,25.650307,-6.798196,-2.845442,64.414571,1.875134,0.147451
1.0,14.924577,-2.878445,-35.618039,64.265289,2.089049,-0.410558
-1.0,11.669821,-2.902647,-31.777987,67.631212,1.556088,0.226248
0.0,-2.62771,-6.647461,-20.294623,48.890517,0.782975,0.465208
-0.766186,0.004117,-5.876414,-52.785785,61.184373,1.586945,1.0
-1.0,17.528331,-11.783204,-67.948746,73.319561,1.806593,-1.0
-0.439431,7.521198,-11.487121,-54.921094,53.313504,2.223881,-0.356306
0.0,28.95574,-1.025448,-92.913424,46.623748,2.446281,-0.281603
0.0,7.130752,-6.051148,-18.376214,53.773506,2.066834,-1.905446
-1.0,4.721546,1.028453,-24.831123,58.539909,2.40441,1.521791
1.626086,20.901533,-8.823142,-58.125926,50.33395,1.539317,-0.649054
1.71938,23.359838,2.513332,-20.65157,65.416514,1.787813,0.388113
-1.34212,16.5432,-2.120874,-39.81652,53.833887,2.18288,0.440214
-1.847177,12.828112,-4.742319,-5.582673,68.503608,2.553505,-1.243278
0.530251,23.479624,-2.979491,-58.974931,77.152075,1.092036,-1.0
-0.846503,11.930134,-9.397535,-79.81897,46.759613,1.715753,0.405841
-0.459315,17.795823,-5.765822,-54.543466,51.826578,2.370597,-0.606714
-1.108181,20.821638,-5.608163,-2.370738,66.097897,1.192214,-1.0
0.653481,27.219718,-3.614367,-70.567993,60.373693,2.496557,1.0
0.836943,20.175145,-5.378815,-15.564888,65.441627,2.114414,-1.0
0.340593,15.692794,-4.453477,-40.331415,45.442976,1.20921,0.0
0.0,17.61049,3.465345,-89.068714,45.129932,2.51109,0.0
-1.0,19.983943,-2.43734,-75.312338,63.501036,1.075006,0.0
-2.481949,27.158191,-1.376572,-46.585402,52.71032,2.223411,0.0
0.0,6.309765,-5.013368,-90.433665,79.637221,2.19143,-1.394761
-0.115858,27.352262,-3.72225,-65.33431,57.235595,2.733738,-1.191388
0.0,4.703947,-4.167277,-5.934318,49.827505,1.338621,1.512892
0.753796,19.649381,-0.79785,-70.181415,50.356578,2.259303,-0.15534
0.0,23.767202,-2.448735,-25.377191,77.310545,2.597002,-0.828665
0.0,19.998364,-6.122656,-53.760158,58.798588,2.720778,1.0
0.0,6.04062,-1.921709,-11.688419,71.317757,2.511529,-1.0
0.0,6.006914,-2.186055,-10.98858,45.779766,2.543647,1.0
0.0,3.247529,-0.69607,-63.705075,44.794067,1.535609,0.0
0.0,29.9918,-3.48334,-78.772563,69.062738,1.978745,1.135686
-1.227637,12.987054,-9.282939,-17.879513,64.421119,2.381995,0.0
1.0,30.148313,-4.641386,-3.949662,59.121487,1.976245,-1.322337
0.0,14.715261,0.456243,-28.979448,69.811159,2.746316,-1.847304
-1.0,4.080403,-2.364904,-38.399835,47.28185,0.841925,-0.837481
1.0,30.91536,0.537081,-30.092989,59.45062,2.565002,0.0
0.0,30.156953,-0.734049,-3.445615,67.973526,0.795881,-0.306329
-1.0,18.912781,-5.09608,-45.424956,57.790224,1.928976,0.0
0.0,-2.063765,-2.932458,-45.957931,77.395344,1.610893,1.0
-1.0,9.004976,-4.597875,-71.592152,66.109849,1.127642,-1.0
-1.056262,-2.351265,-3.295413,-15.495907,49.630816,1.661848,1.197424
1.0,14.377515,-3.624582,-42.68909,74.464493,1.480647,1.0
0.0,7.556685,-1.593694,-90.434203,62.762682,1.574001,-2.209187
0.0,-3.650607,-2.584654,-70.81573,76.37981,1.870556,0.0
-1.0,25.085711,-4.506924,-14.081626,57.292332,3.03076,-1.0
-1.0,20.984441,-10.304215,-49.063188,64.228756,1.553378,-2.598543
0.723998,26.79234,-3.346578,-73.325212,61.969797,0.974829,0.0
1.0,29.429736,-5.858351,-75.666851,69.367759,2.30127,1.0
-1.0,9.858901,-9.050417,-36.258541,72.603409,2.447213,-0.303209
-1.0,17.312781,-7.968284,-62.645455,55.586407,1.776452,0.0
-0.971701,20.945314,-6.122199,-64.222315,78.563293,2.873806,1.0
0.006522,25.04597,-5.098032,-31.811934,60.285528,1.820543,0.180748
-1.0,6.199798,0.256478,-4.700363,67.054548,1.498379,1.0
0.841529,16.237908,-6.749959,-71.617095,63.635992,2.728569,0.0
1.0,10.059533,-5.116623,-47.169844,45.023453,2.239012,1.867247
0.237181,12.294739,1.538808,-63.872394,76.654292,1.597451,0.0
-0.49265,27.737322,-6.779792,-13.776774,67.191676,1.990374,-1.00597
-1.0,5.3076,-1.909463,-2.59928,49.661315,2.81003,0.0
-1.43727,10.525727,-3.58042,-13.700516,51.409308,1.954227,1.0
-1.0,3.679217,-4.345766,-11.238563,48.846898,1.372797,-0.236437
0.0,17.908767,-4.795839,-72.866402,60.311579,1.621046,0.0
0.700713,25.08428,1.072661,-18.457341,47.468287,1.303305,-1.0
1.833555,19.323747,-2.818845,-6.064134,58.784634,1.223982,0.336729
0.366993,14.415846,-3.465902,-80.748286,52.659065,1.568345,-1.0
0.0,-1.415809,1.215976,-93.147138,48.165365,2.575121,-0.33134
-0.153149,4.08298,-5.573188,-53.602456,58.353347,1.378192,1.2276
-1.178359,4.997401,1.353839,-65.745265,53.451714,2.433477,1.619119
1.0,9.889676,-3.013176,-31.640288,46.584389,1.020742,-1.0
-1.175712,28.136798,-2.513538,-61.899502,67.618709,1.411402,0.375121
0.0,11.059678,-6.869339,-72.000621,44.765633,1.550357,-0.88868
1.0,7.964878,-1.766438,-14.018806,57.459924,2.355734,1.0
1.0,8.935193,-0.398544,-29.145946,72.893854,1.391118,-1.0
-1.0,-2.690503,-7.268135,-34.203957,69.95016,1.307727,0.500999
0.827138,8.77287,4.197082,-33.357416,77.46007,2.063046,-1.0
-1.0,-2.732136,-1.869602,-81.965834,58.923416,1.282218,0.0
-0.511211,-2.908409,0.306576,-41.598842,60.934258,2.913345,1.66542
0.549228,27.260136,-1.934179,-32.877334,48.39558,1.979436,-0.748848
-0.285402,2.294503,-1.171753,-28.801884,56.782861,1.320649,0.511081
-1.0,13.958584,0.556419,-12.553764,51.227869,2.6294,0.0
0.0,10.63458,-2.689945,-69.230484,47.151875,1.887991,-0.285091
-1.213287,9.932992,-11.077794,-82.752317,60.415978,1.245076,0.444717
-0.537367,21.228291,-5.880255,-42.106008,73.070707,1.910639,-1.0
1.0,15.359898,-1.401837,-85.364024,57.3424,1.566774,0.0
1.0,15.397264,-5.148535,-65.781409,63.943466,0.944811,-1.765643
-1.251662,2.804409,-4.298309,-86.40076,55.674545,1.691377,1.0
-1.0,13.203827,-2.91464,-56.473963,60.024293,1.052291,-1.0
-0.416352,30.577204,-2.948751,-72.568166,50.895584,1.465058,1.286184
1.402863,3.524116,0.769081,-21.240387,60.546545,2.147663,0.0
1.596062,27.201679,-10.288593,-6.691149,63.136888,2.078247,0.0
1.422698,2.510582,-0.72351,-26.736563,72.618141,1.919072,-1.0
1.0,13.583123,-2.217781,-17.717017,59.851341,2.553774,0.748633
0.623496,20.7226,-5.870791,-49.001237,52.676716,1.644363,0.253202
1.0,14.53367,-3.613559,-82.744636,69.81716,1.493573,-0.239526
-0.661394,9.201525,-6.175638,-54.938009,78.828695,1.835554,0.0
-0.376242,14.856338,-5.852422,-81.182897,58.42322,2.199865,0.0
-1.393379,30.055544,-11.284402,-12.84903,61.651256,1.443612,0.0
1.338558,-2.100337,-5.901501,-1.710739,76.879871,1.667551,1.64464
1.448447,18.307241,-2.719509,-2.516564,46.169038,2.291916,0.491849
1.275422,28.666351,-2.158997,-36.638788,49.536503,0.779374,0.0
-2.022901,19.260587,1.527044,-88.570944,73.063878,0.855073,0.0
2.089465,22.887595,-6.085035,-81.85661,73.937355,1.843779,-1.0
0.0,15.533775,-6.142391,-76.842767,57.3791,0.876263,-1.736056
-0.019303,10.098511,-2.21827,-80.200908,49.590337,2.140922,1.0
1.0,1.751336,-4.785898,-67.081142,53.025471,1.93533,0.108066
-0.28595,-3.399007,-3.171082,-86.700364,61.919283,2.144676,0.0
1.352178,25.530861,-10.741658,-28.200421,78.207461,2.268392,0.251004
-1.0,-1.225013,-6.758068,-36.813765,78.913749,1.600411,0.0
0.290242,19.560171,-2.86475,-82.274626,54.651385,1.943068,1.130682
0.0,19.702404,-5.478183,-14.034475,63.482398,1.40037,-1.0
