Booth_No,Location,Zone,Type,UDF_2021,LDF_2021,T20_2021,NDA_2021,Total_2021,UDF_2024,LDF_2024,NDA_2024,Total_2024,Anti_Inc_Votes,Anti_Inc_Pct,Anti_Inc_Level,T20_to_NDA,T20_to_UDF,T20_Floating,T20_Impact,BDJS_Swing,Genuine_UDF_Growth,Turnout_Diff,UDF_Swing,LDF_Swing,Swing_Class,Total_Swing_Votes,Swing_Pct,Volatility
31,MASSLPS Sulaiman Master Hall,Fort Kochi,C,280,570,20,0,870,583,298,0,881,272,47.7,HIGH,13,5,2,LOW,0,298,11,303,-272,STRONG UDF SWING,303,34.8,MODERATE
32,Aasia Bai HSS Middle W,Fort Kochi,B,338,409,46,0,793,520,192,0,712,217,53.1,HIGH,30,12,4,LOW,0,170,-81,182,-217,STRONG UDF SWING,344,43.4,HIGH
33,Gujarati Vidhyalaya HSS NW,Fort Kochi,C,311,580,24,0,915,627,258,0,885,322,55.5,HIGH,16,6,2,LOW,0,310,-30,316,-322,STRONG UDF SWING,376,41.1,HIGH
34,Gujarati Vidhyalaya HSS SW,Fort Kochi Mattancherry,E,117,192,0,387,696,214,0,411,625,192,100.0,EXTREME,0,0,0,NONE,24,97,-71,97,-192,UDF SWING,287,41.2,HIGH
35,Kochi Gujarathi UPS N,Fort Kochi,C,346,572,26,0,944,627,258,0,885,314,54.9,HIGH,17,6,3,LOW,0,275,-59,281,-314,STRONG UDF SWING,399,42.3,HIGH
36,Haji Easa Moosa HS Mid,Fort Kochi,C,171,340,13,0,524,349,126,0,475,214,62.9,EXTREME,8,3,2,LOW,0,175,-49,178,-214,STRONG UDF SWING,276,52.7,HIGH
37,Haji Easa Moosa HS N,Fort Kochi Mattancherry,E,149,125,0,227,501,178,0,277,455,125,100.0,EXTREME,0,0,0,NONE,50,29,-46,29,-125,SLIGHT UDF SWING,221,44.1,HIGH
38,Haji Easa Moosa HS E,Fort Kochi,F,238,622,0,0,860,488,331,0,819,291,46.8,HIGH,0,0,0,NONE,0,250,-41,250,-291,STRONG UDF SWING,332,38.6,MODERATE
39,TD Girls LPS S New Block,Fort Kochi Mattancherry,E,177,247,0,347,771,211,0,390,601,247,100.0,EXTREME,0,0,0,NONE,43,34,-170,34,-247,SLIGHT UDF SWING,460,59.7,HIGH
40,TD Girls LPS N New Block,Fort Kochi,C,252,473,57,0,782,525,232,0,757,241,51.0,HIGH,37,14,6,MODERATE,0,259,-25,273,-241,STRONG UDF SWING,323,41.3,HIGH
41,TD High School W End S,Fort Kochi Mattancherry,E,139,163,0,266,568,244,0,300,544,163,100.0,EXTREME,0,0,0,NONE,34,105,-24,105,-163,UDF SWING,221,38.9,MODERATE
42,TD High School S Blk 4W,Fort Kochi Mattancherry,E,108,93,0,411,612,131,0,462,593,93,100.0,EXTREME,0,0,0,NONE,51,23,-19,23,-93,SLIGHT UDF SWING,163,26.6,MODERATE
43,TD High School S Blk 4E,Fort Kochi Mattancherry,E,137,124,0,344,605,163,0,421,584,124,100.0,EXTREME,0,0,0,NONE,77,26,-21,26,-124,SLIGHT UDF SWING,222,36.7,MODERATE
44,TD High School S Blk 5E,Fort Kochi Mattancherry,E,130,96,0,473,699,169,0,524,693,96,100.0,EXTREME,0,0,0,NONE,51,39,-6,39,-96,SLIGHT UDF SWING,153,21.9,LOW
45,Govt Girls HS LP W South,Fort Kochi,C,288,525,25,0,838,498,263,0,761,262,49.9,HIGH,16,6,3,LOW,0,204,-77,210,-262,STRONG UDF SWING,364,43.4,HIGH
46,Govt Girls HS LP E South,Fort Kochi Mattancherry,E,175,272,0,487,934,210,0,523,733,272,100.0,EXTREME,0,0,0,NONE,36,35,-201,35,-272,SLIGHT UDF SWING,509,54.5,HIGH
47,Govt Girls LPS N West Block,Fort Kochi,C,210,495,20,0,725,470,249,0,719,246,49.7,HIGH,13,5,2,LOW,0,255,-6,260,-246,STRONG UDF SWING,272,37.5,MODERATE
48,Govt Girls LPS S West Block,Fort Kochi,C,238,444,20,0,702,444,221,0,665,223,50.2,HIGH,13,5,2,LOW,0,201,-37,206,-223,STRONG UDF SWING,280,39.9,MODERATE
49,TD Teacher Training S Hall,Fort Kochi Mattancherry,E,94,76,0,452,622,92,0,532,624,76,100.0,EXTREME,0,0,0,NONE,80,0,2,-2,-76,BOTH DECLINE (NDA GAINS),158,25.4,MODERATE
50,TD Teacher Training N Hall,Fort Kochi Mattancherry,E,140,173,0,389,702,188,0,446,634,173,100.0,EXTREME,0,0,0,NONE,57,48,-68,48,-173,SLIGHT UDF SWING,298,42.5,HIGH
51,TDLPS N Portion E Block,Chullickal,B,230,265,85,0,580,316,122,0,438,143,54.0,HIGH,55,21,9,MODERATE,0,65,-142,86,-143,UDF SWING,370,63.8,EXTREME
52,TDLPS S Portion E Block,Chullickal,B,200,271,34,0,505,240,146,0,386,125,46.1,HIGH,22,8,4,LOW,0,32,-119,40,-125,SLIGHT UDF SWING,278,55.0,HIGH
53,Cochin College BioTech W,Chullickal,B,203,271,74,0,548,326,108,0,434,163,60.1,EXTREME,48,18,8,MODERATE,0,105,-114,123,-163,UDF SWING,351,64.1,EXTREME
54,Cochin College BioTech E,Chullickal,B,249,288,69,0,606,367,111,0,478,177,61.5,EXTREME,45,17,7,MODERATE,0,101,-128,118,-177,UDF SWING,374,61.7,EXTREME
55,Cochin College BioTech Mid,Chullickal,C,263,431,45,0,739,453,194,0,647,237,55.0,HIGH,29,11,5,LOW,0,179,-92,190,-237,STRONG UDF SWING,374,50.6,HIGH
56,MMOHS Panayappilly W,Chullickal,C,293,510,17,0,820,607,209,0,816,301,59.0,HIGH,11,4,2,LOW,0,310,-4,314,-301,STRONG UDF SWING,322,39.3,MODERATE
57,MMOHS Panayappilly N W,Chullickal,C,305,587,14,0,906,639,301,0,940,286,48.7,HIGH,9,4,1,LOW,0,330,34,334,-286,STRONG UDF SWING,334,36.9,MODERATE
58,MMOHS E Portion S Block,Chullickal,C,243,353,39,0,635,397,128,0,525,225,63.7,EXTREME,25,10,4,LOW,0,144,-110,154,-225,STRONG UDF SWING,374,58.9,HIGH
59,MMOHS W South Block,Chullickal,C,197,376,6,0,579,391,178,0,569,198,52.7,HIGH,4,2,0,LOW,0,192,-10,194,-198,STRONG UDF SWING,214,37.0,MODERATE
60,MMOHS Mid W,Chullickal,C,342,544,15,0,901,624,216,0,840,328,60.3,EXTREME,10,4,1,LOW,0,278,-61,282,-328,STRONG UDF SWING,404,44.8,HIGH
61,MMOHS N Portion W,Chullickal,C,224,402,9,0,635,454,166,0,620,236,58.7,HIGH,6,2,1,LOW,0,228,-15,230,-236,STRONG UDF SWING,260,40.9,HIGH
62,MMOHS S Portion W,Chullickal,C,233,471,8,0,712,439,231,0,670,240,51.0,HIGH,5,2,1,LOW,0,204,-42,206,-240,STRONG UDF SWING,290,40.7,HIGH
63,Corp Library Panayapilly,Chullickal,C,274,419,26,0,719,446,205,0,651,214,51.1,HIGH,17,6,3,LOW,0,166,-68,172,-214,STRONG UDF SWING,308,42.8,HIGH
64,GHS Panayappilly KG E,Chullickal,C,223,415,35,0,673,380,193,0,573,222,53.5,HIGH,23,9,3,LOW,0,148,-100,157,-222,STRONG UDF SWING,357,53.0,HIGH
65,GHS Panayappilly KG W,Chullickal,B,220,226,45,0,491,327,64,0,391,162,71.7,EXTREME,29,11,5,LOW,0,96,-100,107,-162,UDF SWING,307,62.5,EXTREME
66,St Joseph HS Chullickal SE E,Chullickal,B,263,298,71,0,632,441,109,0,550,189,63.4,EXTREME,46,18,7,MODERATE,0,160,-82,178,-189,STRONG UDF SWING,342,54.1,HIGH
67,St Joseph HS Chullickal 3rd,Chullickal,B,304,307,116,0,727,496,100,0,596,207,67.4,EXTREME,75,29,12,HIGH,0,163,-131,192,-207,STRONG UDF SWING,454,62.4,EXTREME
68,St Joseph HS Chullickal Mid SE,Chullickal,B,301,364,102,0,767,488,119,0,607,245,67.3,EXTREME,66,26,10,HIGH,0,161,-160,187,-245,STRONG UDF SWING,507,66.1,EXTREME
69,St Joseph HS Chullickal 2W SE,Chullickal,C,286,393,94,0,773,460,157,0,617,236,60.1,EXTREME,61,24,9,MODERATE,0,150,-156,174,-236,STRONG UDF SWING,486,62.9,EXTREME
70,St Joseph HS Chullickal W SE,Chullickal,B,312,337,77,0,726,479,121,0,600,216,64.1,EXTREME,50,19,8,MODERATE,0,148,-126,167,-216,STRONG UDF SWING,419,57.7,HIGH
71,St Joseph HS Chullickal E SW,Chullickal,B,284,329,58,0,671,414,145,0,559,184,55.9,HIGH,38,14,6,MODERATE,0,116,-112,130,-184,UDF SWING,354,52.8,HIGH
72,St Joseph HS Chullickal Mid SW,Chullickal,B,355,433,68,0,856,534,177,0,711,256,59.1,HIGH,44,17,7,MODERATE,0,162,-145,179,-256,STRONG UDF SWING,469,54.8,HIGH
73,OLCGHS Main Block 2nd Mid W,Chullickal,C,250,415,84,0,749,432,163,0,595,252,60.7,EXTREME,55,21,8,MODERATE,0,161,-154,182,-252,STRONG UDF SWING,490,65.4,EXTREME
74,OLCGHS Main Block E Portion,Chullickal,A,387,377,44,0,808,565,139,0,704,238,63.1,EXTREME,29,11,4,LOW,0,167,-104,178,-238,STRONG UDF SWING,386,47.8,HIGH
75,OLCGHS Main Block S End E,Chullickal,A,334,334,72,0,740,516,90,0,606,244,73.1,EXTREME,47,18,7,MODERATE,0,164,-134,182,-244,STRONG UDF SWING,450,60.8,EXTREME
76,Our Lady GLPS W Block N,Chullickal,C,349,513,106,0,968,549,166,0,715,347,67.6,EXTREME,69,26,11,HIGH,0,174,-253,200,-347,STRONG UDF SWING,706,72.9,EXTREME
77,St Jacob School Nazreth E,Chullickal,B,205,302,83,0,590,356,146,0,502,156,51.7,HIGH,54,21,8,MODERATE,0,130,-88,151,-156,STRONG UDF SWING,327,55.4,HIGH
78,St Jacob School Nazreth W,Chullickal,B,310,343,105,0,758,486,130,0,616,213,62.1,EXTREME,68,26,11,HIGH,0,150,-142,176,-213,STRONG UDF SWING,460,60.7,EXTREME
79,Chaithanya Sunday School S,Chullickal,B,397,412,125,0,934,635,153,0,788,259,62.9,EXTREME,81,31,13,HIGH,0,207,-146,238,-259,STRONG UDF SWING,530,56.7,HIGH
80,Chaithanya Sunday School N,Chullickal,A,365,364,149,0,878,582,115,0,697,249,68.4,EXTREME,97,37,15,HIGH,0,180,-181,217,-249,STRONG UDF SWING,579,65.9,EXTREME
81,St Sebastian HSS W LP,Chullickal,C,284,394,71,0,749,454,178,0,632,216,54.8,HIGH,46,18,7,MODERATE,0,152,-117,170,-216,STRONG UDF SWING,404,53.9,HIGH
82,St Sebastian HSS E LP,Chullickal,B,270,344,74,0,688,399,159,0,558,185,53.8,HIGH,48,18,8,MODERATE,0,111,-130,129,-185,UDF SWING,389,56.5,HIGH
83,St Sebastian HSS W N Bldg,Chullickal,C,289,443,70,0,802,450,202,0,652,241,54.4,HIGH,46,18,6,MODERATE,0,143,-150,161,-241,STRONG UDF SWING,461,57.5,HIGH
84,St Sebastian HSS E N Bldg,Chullickal,B,280,356,102,0,738,419,147,0,566,209,58.7,HIGH,66,26,10,HIGH,0,113,-172,139,-209,UDF SWING,483,65.4,EXTREME
85,St Sebastian HSS LP 2nd W,Chullickal,B,276,298,116,0,690,469,73,0,542,225,75.5,EXTREME,75,29,12,HIGH,0,164,-148,193,-225,STRONG UDF SWING,489,70.9,EXTREME
86,St Thomas LPS E N Bldg,Chullickal,B,246,289,82,0,617,327,154,0,481,135,46.7,HIGH,53,20,9,MODERATE,0,61,-136,81,-135,UDF SWING,353,57.2,HIGH
87,St Thomas LPS N Side Main,Chullickal,C,244,378,45,0,667,351,209,0,560,169,44.7,HIGH,29,11,5,LOW,0,96,-107,107,-169,UDF SWING,321,48.1,HIGH
88,St Thomas LPS Mid Main,Chullickal,C,239,376,69,0,684,424,162,0,586,214,56.9,HIGH,45,17,7,MODERATE,0,168,-98,185,-214,STRONG UDF SWING,381,55.7,HIGH
89,Loretto AILPS S Block W,Chullickal,A,358,341,142,0,841,525,153,0,678,188,55.1,HIGH,92,36,14,HIGH,0,131,-163,167,-188,STRONG UDF SWING,493,58.6,HIGH
90,Loretto AILPS S Block E,Chullickal,C,286,468,121,0,875,515,188,0,703,280,59.8,HIGH,79,30,12,HIGH,0,199,-172,229,-280,STRONG UDF SWING,573,65.5,EXTREME
91,Loretto AIHS New Block 2E,Chullickal,B,347,374,160,0,881,532,169,0,701,205,54.8,HIGH,104,40,16,HIGH,0,145,-180,185,-205,STRONG UDF SWING,545,61.9,EXTREME
92,Loretto AIHS New Block 1W,Chullickal,B,331,388,166,0,885,532,186,0,718,202,52.1,HIGH,108,42,16,HIGH,0,159,-167,201,-202,STRONG UDF SWING,535,60.5,EXTREME
93,St Anthony LPS E S Block,Chullickal,B,217,294,95,0,606,412,113,0,525,181,61.6,EXTREME,62,24,9,MODERATE,0,171,-81,195,-181,STRONG UDF SWING,357,58.9,HIGH
94,St Anthony LPS N S Block,Chullickal,C,245,380,79,0,704,425,161,0,586,219,57.6,HIGH,51,20,8,MODERATE,0,160,-118,180,-219,STRONG UDF SWING,416,59.1,HIGH
95,St Anthony LPS Mid S Bldg,Chullickal,C,185,349,94,0,628,364,194,0,558,155,44.4,HIGH,61,24,9,MODERATE,0,155,-70,179,-155,STRONG UDF SWING,319,50.8,HIGH
96,SVDLPS S Portion Main,Chullickal,C,178,390,57,0,625,262,226,0,488,164,42.1,HIGH,37,14,6,MODERATE,0,70,-137,84,-164,UDF SWING,358,57.3,HIGH
97,SVDLPS N Portion Main,Chullickal,C,266,400,85,0,751,360,225,0,585,175,43.8,HIGH,55,21,9,MODERATE,0,73,-166,94,-175,UDF SWING,426,56.7,HIGH
98,SVDLPS E Portion N Bldg,Chullickal,C,252,447,104,0,803,448,223,0,671,224,50.1,HIGH,68,26,10,HIGH,0,170,-132,196,-224,STRONG UDF SWING,460,57.3,HIGH
99,SVDLPS W Portion N Bldg,Chullickal,C,282,391,92,0,765,434,195,0,629,196,50.1,HIGH,60,23,9,MODERATE,0,129,-136,152,-196,STRONG UDF SWING,424,55.4,HIGH
100,SDPY LPS N Side Main,Chullickal,C,276,513,96,0,885,484,290,0,774,223,43.5,HIGH,62,24,10,MODERATE,0,184,-111,208,-223,STRONG UDF SWING,430,48.6,HIGH
101,SDPY HSS N Side Main,Chullickal,B,164,233,58,0,455,226,150,0,376,83,35.6,MODERATE,38,14,6,MODERATE,0,48,-79,62,-83,UDF SWING,220,48.4,HIGH
102,SDPY HSS Mid Main,Chullickal,C,133,341,32,0,506,174,237,0,411,104,30.5,MODERATE,21,8,3,LOW,0,33,-95,41,-104,SLIGHT UDF SWING,231,45.7,HIGH
103,St Louis LPS Mid Portion,Kumbalangi,A,326,306,253,0,885,621,128,0,749,178,58.2,HIGH,164,63,26,VERY HIGH,0,232,-136,295,-178,STRONG UDF SWING,567,64.1,EXTREME
104,St Louis HS NW New Bldg,Kumbalangi,C,205,408,119,0,732,480,144,0,624,264,64.7,EXTREME,77,30,12,HIGH,0,245,-108,275,-264,STRONG UDF SWING,491,67.1,EXTREME
105,St Louis HS W New Bldg,Kumbalangi,B,308,355,168,0,831,517,175,0,692,180,50.7,HIGH,109,42,17,HIGH,0,167,-139,209,-180,STRONG UDF SWING,487,58.6,HIGH
106,St Louis HS 2nd W,Kumbalangi,A,355,330,195,0,880,595,138,0,733,192,58.2,HIGH,127,49,19,HIGH,0,191,-147,240,-192,STRONG UDF SWING,534,60.7,EXTREME
107,St Louis HS Mid Portion,Kumbalangi,B,330,383,184,0,897,530,175,0,705,208,54.3,HIGH,120,46,18,HIGH,0,154,-192,200,-208,STRONG UDF SWING,584,65.1,EXTREME
108,St Louis HS 2nd E Mundamveli,Kumbalangi,B,344,347,155,0,846,599,126,0,725,221,63.7,EXTREME,101,39,15,HIGH,0,216,-121,255,-221,STRONG UDF SWING,497,58.7,HIGH
109,St Louis HS E Portion,Kumbalangi,B,201,217,96,0,514,353,104,0,457,113,52.1,HIGH,62,24,10,MODERATE,0,128,-57,152,-113,STRONG UDF SWING,266,51.8,HIGH
110,St Louis HS NE Portion,Kumbalangi,B,230,278,69,0,577,361,118,0,479,160,57.6,HIGH,45,17,7,MODERATE,0,114,-98,131,-160,UDF SWING,327,56.7,HIGH
111,St Michael LPS N Bldg,Kumbalangi,A,272,195,231,0,698,460,138,0,598,57,29.2,MODERATE,150,58,23,VERY HIGH,0,130,-100,188,-57,STRONG UDF SWING,388,55.6,HIGH
112,St Michael LPS S Bldg,Kumbalangi,A,260,242,220,0,722,508,128,0,636,114,47.1,HIGH,143,55,22,VERY HIGH,0,193,-86,248,-114,STRONG UDF SWING,420,58.2,HIGH
113,St Joseph Girls UPS NW Main,Kumbalangi,B,319,402,279,0,1000,588,249,0,837,153,38.1,MODERATE,181,70,28,VERY HIGH,0,199,-163,269,-153,STRONG UDF SWING,595,59.5,HIGH
114,St Joseph Girls UPS NE Main,Kumbalangi,C,307,547,165,0,1019,554,349,0,903,198,36.2,MODERATE,107,41,17,HIGH,0,206,-116,247,-198,STRONG UDF SWING,479,47.0,HIGH
115,St Joseph LPS S End,Chellanam,D,228,216,444,0,888,524,27,315,866,189,87.5,EXTREME,289,111,44,VERY HIGH,26,185,-22,296,-189,STRONG UDF SWING,681,76.7,EXTREME
116,St Joseph LPS Mid Cheriyakadavu,Chellanam,D,256,338,431,0,1025,561,46,326,933,292,86.4,EXTREME,280,108,43,VERY HIGH,46,197,-92,305,-292,STRONG UDF SWING,861,84.0,EXTREME
117,St Joseph LPS N Portion,Chellanam,D,230,406,498,0,1134,557,12,335,904,394,97.0,EXTREME,324,124,50,VERY HIGH,11,203,-230,327,-394,STRONG UDF SWING,1133,99.9,EXTREME
118,Chinmaya Vidyalaya Kalathara,Chellanam,B,45,88,58,0,191,70,76,43,189,12,13.6,LOW,38,14,6,MODERATE,5,11,-2,25,-12,SLIGHT UDF SWING,77,40.3,HIGH
119,St Anthony LPS W Main,Chellanam,D,167,154,282,0,603,359,53,236,648,101,65.6,EXTREME,183,70,29,VERY HIGH,53,122,45,192,-101,STRONG UDF SWING,481,79.8,EXTREME
120,St Anthony LPS E Main,Chellanam,D,234,173,358,0,765,459,38,270,767,135,78.0,EXTREME,233,90,35,VERY HIGH,37,135,2,225,-135,STRONG UDF SWING,532,69.5,EXTREME
121,St Mary HS Mid Main,Chellanam,D,251,250,496,0,997,615,29,351,995,221,88.4,EXTREME,322,124,50,VERY HIGH,29,240,-2,364,-221,STRONG UDF SWING,748,75.0,EXTREME
122,St Mary HS E N Bldg,Chellanam,B,234,341,282,0,857,495,248,107,850,93,27.3,MODERATE,183,70,29,VERY HIGH,0,191,-7,261,-93,STRONG UDF SWING,382,44.6,HIGH
123,St Mary HS Mid SE Bldg,Chellanam,D,253,317,420,0,990,599,33,306,938,284,89.6,EXTREME,273,105,42,VERY HIGH,33,241,-52,346,-284,STRONG UDF SWING,789,79.7,EXTREME
124,Govt HSS N Tsunami,Chellanam,D,169,161,547,0,877,468,70,425,963,91,56.5,HIGH,356,137,54,VERY HIGH,69,162,86,299,-91,STRONG UDF SWING,793,90.4,EXTREME
125,Govt HSS S Tsunami Puthenthode,Chellanam,B,259,330,237,0,826,506,216,0,722,114,34.5,MODERATE,154,59,24,VERY HIGH,0,188,-104,247,-114,STRONG UDF SWING,455,55.1,HIGH
126,Govt HSS Mid Central,Chellanam,D,172,151,484,0,807,492,39,353,884,112,74.2,EXTREME,315,121,48,VERY HIGH,38,199,77,320,-112,STRONG UDF SWING,711,88.1,EXTREME
127,Chellanam Panchayat Office,Chellanam,B,162,216,195,0,573,273,182,54,509,34,15.7,LOW,127,49,19,HIGH,0,62,-64,111,-34,UDF SWING,293,51.1,HIGH
128,Exodus Public School W,Chellanam,D,140,138,680,0,958,542,43,485,1070,95,68.8,EXTREME,442,170,68,VERY HIGH,43,232,112,402,-95,STRONG UDF SWING,930,97.1,EXTREME
129,Exodus Public School E,Chellanam,D,253,266,272,0,791,403,105,268,776,161,60.5,EXTREME,177,68,27,VERY HIGH,91,82,-15,150,-161,UDF SWING,539,68.1,EXTREME
130,St Mary HS N Room E Bldg,Chellanam,B,253,266,272,0,791,403,218,105,726,48,18.0,LOW,177,68,27,VERY HIGH,0,82,-65,150,-48,UDF SWING,385,48.7,HIGH
131,St Mary HS E Portion Main,Chellanam,B,263,314,209,0,786,409,250,0,659,64,20.4,MODERATE,136,52,21,VERY HIGH,0,94,-127,146,-64,UDF SWING,400,50.9,HIGH
132,St Mary LPS NW Bldg,Chellanam,D,207,229,236,0,672,418,28,169,615,201,87.8,EXTREME,153,59,24,VERY HIGH,16,152,-57,211,-201,STRONG UDF SWING,510,75.9,EXTREME
133,Village Office Chellanam S,Chellanam,B,288,384,234,0,906,435,305,0,740,79,20.6,MODERATE,152,58,24,VERY HIGH,0,89,-166,147,-79,UDF SWING,479,52.9,HIGH
134,Village Office Chellanam N,Chellanam,D,161,161,280,0,602,348,22,204,574,139,86.3,EXTREME,182,70,28,VERY HIGH,22,117,-28,187,-139,STRONG UDF SWING,469,77.9,EXTREME
135,St George LPS S Chellanam,Chellanam,D,260,237,403,0,900,529,22,283,834,215,90.7,EXTREME,262,101,40,VERY HIGH,21,168,-66,269,-215,STRONG UDF SWING,705,78.3,EXTREME
