Booth,LDF_Maxy,UDF_Shiyas,Aneesh,NDA_Julappan,Ajeesh,Valid,Rejected,NOTA,Total,Tendered
52,227,365,9,1,3,605,0,2,607,0
53,226,281,16,18,0,541,0,1,542,0
54,257,356,10,140,2,765,0,8,773,0
55,146,187,9,215,1,558,0,5,563,0
56,273,311,7,21,1,613,0,1,614,0
57,244,306,9,4,1,564,0,2,566,0
58,237,158,5,281,2,683,0,7,690,0
59,231,224,5,44,1,505,0,2,507,0
60,226,313,13,2,0,554,0,6,560,0
61,153,213,2,271,1,640,0,7,647,0
62,100,84,2,348,5,539,0,10,549,0
63,136,182,7,352,0,677,0,13,690,0
64,47,82,1,188,1,319,0,0,319,0
65,53,59,1,207,4,324,0,8,332,0
66,248,316,8,20,2,594,0,2,596,0
67,233,237,2,47,0,519,0,2,521,0
68,138,136,5,173,2,454,0,7,461,0
69,132,86,0,244,2,464,0,3,467,0
70,411,503,24,1,2,941,0,4,945,0
71,344,458,25,1,4,832,0,8,840,0
72,97,62,0,410,1,570,0,14,584,0
73,160,146,4,378,4,692,0,16,708,0
74,213,271,2,168,1,655,0,7,662,0
75,296,189,1,271,1,758,0,10,768,0
76,262,273,2,147,2,686,0,5,691,0
77,142,160,2,134,2,440,0,2,442,0
78,122,212,0,47,0,381,0,6,387,0
79,148,230,3,79,0,460,0,2,462,0
80,224,306,5,26,1,562,0,3,565,0
81,199,386,5,4,2,596,0,2,598,0
82,210,373,4,16,4,607,0,4,611,0
83,228,379,5,3,0,615,0,1,616,0
84,229,318,10,1,1,559,0,0,559,0
85,310,457,2,30,0,799,0,11,810,0
86,289,431,9,3,4,736,0,1,737,0
87,243,318,16,13,1,591,0,0,591,0
88,230,356,9,2,6,603,0,3,606,0
89,277,522,11,2,2,814,0,5,819,0
90,371,543,19,0,0,933,0,2,935,0
91,395,510,11,43,1,960,0,3,963,0
92,313,384,9,36,5,747,0,2,749,0
93,190,361,4,83,1,639,0,2,641,0
94,293,414,2,59,0,768,0,8,776,0
95,311,404,3,48,0,766,0,6,772,0
96,165,233,1,46,0,445,0,2,447,0
97,167,188,1,37,1,394,0,1,395,0
98,190,170,4,40,1,405,0,1,406,0
99,198,219,1,30,0,448,0,4,452,0
100,313,436,1,56,0,806,0,8,814,0
101,138,199,2,44,3,386,0,3,389,1
102,159,172,2,66,4,403,0,2,405,0
103,193,285,4,28,0,510,0,1,511,0
104,164,287,3,37,1,492,0,4,496,0
105,190,177,2,61,2,432,0,4,436,0
106,193,187,3,46,0,429,0,5,434,0
107,150,280,1,38,3,472,0,5,477,0
108,203,259,2,15,3,482,0,3,485,0
109,147,225,1,33,1,407,0,5,412,0
110,173,192,0,13,2,380,0,8,388,0
111,200,219,0,38,3,460,0,10,470,0
112,213,236,1,34,1,485,0,2,487,0
113,310,313,5,115,2,745,0,7,752,0
114,172,237,1,24,1,435,0,2,437,0
115,182,205,1,26,1,415,0,2,417,0
116,223,270,2,23,0,518,0,2,520,0
117,184,264,2,24,0,474,0,2,476,0
118,158,293,0,19,5,475,0,3,478,0
119,158,204,3,33,2,400,0,6,406,0
120,190,198,0,18,2,408,0,2,410,0
121,157,170,0,36,2,365,0,5,370,0
122,156,133,3,39,0,331,0,1,332,0
123,121,187,4,27,2,341,0,4,345,0
124,217,203,1,31,3,455,0,2,457,0
125,176,244,3,69,0,492,0,8,500,0
126,172,189,1,29,3,394,0,1,395,0
127,200,186,1,34,1,422,0,2,424,0
128,233,306,2,44,0,585,0,7,592,0
129,142,183,3,41,0,369,0,4,373,0
130,109,161,1,126,1,398,0,5,403,0
131,176,162,3,96,1,438,0,1,439,0
132,152,164,1,58,4,379,0,5,384,0
133,163,171,0,46,2,382,0,5,387,0
134,144,201,1,70,0,416,0,9,425,0
135,204,219,2,37,2,464,0,3,467,0
136,234,224,4,39,1,502,0,5,507,0
137,285,201,0,12,0,498,0,5,503,0
138,235,218,1,45,2,501,0,5,506,0
139,184,216,2,23,2,427,0,3,430,0
140,234,170,0,10,0,414,0,3,417,0
141,232,243,1,28,0,504,0,3,507,0
142,217,194,3,34,1,449,0,6,455,0
143,330,296,3,43,4,676,0,8,684,0
144,337,254,0,23,2,616,0,5,621,0
145,347,268,4,19,2,640,0,3,643,0
146,166,117,1,166,3,453,0,4,457,0
147,195,126,1,104,3,429,0,8,437,0
148,186,150,2,96,1,435,0,4,439,0
149,171,163,0,80,0,414,0,6,420,0
150,261,143,1,60,0,465,0,3,468,0
151,174,220,1,43,0,438,0,6,444,0
152,216,181,2,37,2,438,0,3,441,0
153,203,199,2,35,1,440,0,1,441,0
154,200,236,8,82,3,529,0,3,532,0
155,244,233,2,46,1,526,0,3,529,0
156,202,253,2,72,1,530,0,10,540,0
157,286,150,2,84,3,525,0,5,530,0
158,235,259,0,9,0,503,0,3,506,0
159,157,253,2,13,0,425,0,3,428,0
160,373,365,0,21,1,760,0,7,767,0
161,173,232,1,12,0,418,0,1,419,0
162,192,216,2,20,2,432,0,2,434,0
163,159,343,1,17,1,521,0,6,527,0
164,189,278,1,31,1,500,0,2,502,0
165,192,292,0,35,0,519,0,3,522,0
166,223,207,0,34,2,466,0,8,474,0
167,195,257,0,13,1,466,0,3,469,0
168,170,240,0,21,0,431,0,2,433,0
169,262,304,1,48,1,616,0,6,622,0
170,252,313,3,42,1,611,0,6,617,0
171,331,350,0,3,1,685,0,6,691,0
172,331,432,0,16,0,779,0,6,785,0
173,227,227,0,4,0,458,0,0,458,0
174,226,239,0,8,1,474,0,2,476,0
175,246,276,1,6,0,529,0,1,530,0
176,370,218,1,14,0,603,0,3,606,0
177,176,261,5,20,1,463,0,4,467,0
178,151,239,0,9,1,400,0,0,400,0
179,229,291,4,23,1,548,0,4,552,0
180,215,313,0,18,1,547,0,6,553,0
181,282,353,3,8,0,646,0,0,646,0
182,285,264,1,6,0,556,0,0,556,0
183,134,63,0,1,0,198,0,0,198,0
184,372,316,2,34,1,725,0,6,731,0
185,242,314,3,27,1,587,0,4,591,0
186,292,479,1,38,0,810,0,5,815,0
187,450,422,1,19,2,894,0,6,900,0
188,194,298,1,16,0,509,0,4,513,0
189,217,293,0,9,1,520,0,4,524,0
190,216,281,1,10,3,511,0,3,514,0
191,224,228,0,7,0,459,0,1,460,0
192,387,438,1,83,1,910,0,0,910,0
193,390,487,1,43,4,925,0,4,929,0
194,301,296,1,29,0,627,0,0,627,0
195,335,478,3,35,3,854,0,6,860,0
196,183,269,3,12,1,468,0,3,471,0
197,162,314,1,23,0,500,0,2,502,0
198,350,397,3,68,4,822,0,2,824,0
199,329,482,1,28,1,841,0,2,843,0
200,325,322,0,33,0,680,0,3,683,0
201,241,237,0,14,1,493,0,2,495,0
202,217,255,1,26,0,499,0,6,505,0
203,319,308,1,15,0,643,0,1,644,0
204,234,296,0,6,0,536,0,0,536,0
205,211,231,1,13,0,456,0,3,459,0
206,194,286,1,7,1,489,0,3,492,0
207,226,275,0,2,0,503,0,0,503,0
208,256,320,1,47,1,625,0,3,628,0
209,240,307,0,9,3,559,0,7,566,0
210,209,211,0,28,1,449,0,0,449,0
211,227,194,1,30,1,453,0,4,457,0
212,234,209,0,15,2,460,0,6,466,0
213,202,251,0,17,0,470,0,0,470,0
214,455,405,1,48,3,912,0,6,918,0
215,360,296,2,37,1,696,0,7,703,0
216,249,213,0,17,1,480,0,0,480,0
217,241,212,2,12,1,468,0,1,469,0
218,334,205,1,35,0,575,0,2,577,0
219,239,268,1,12,0,520,0,2,522,0
220,349,118,1,24,1,493,0,1,494,0
221,238,189,2,54,1,484,0,4,488,0
222,228,299,1,22,0,550,0,2,552,0
223,223,252,1,22,1,499,0,2,501,0
224,191,347,0,22,0,560,0,4,564,0
225,264,283,0,29,2,578,0,2,580,0
226,226,227,1,36,1,491,0,1,492,0
227,240,251,1,28,0,520,0,4,524,0
228,217,276,0,32,1,526,0,2,528,0
229,227,275,0,25,2,529,0,5,534,0
230,273,395,1,18,2,689,0,4,693,0
231,216,333,0,23,0,572,0,2,574,0
232,278,230,1,17,0,526,0,2,528,0
233,342,373,0,59,1,775,0,9,784,0
234,217,216,0,24,1,458,0,6,464,0
235,268,199,2,34,1,504,0,1,505,0
236,211,180,2,46,0,439,0,0,439,0
237,193,225,0,38,2,458,0,5,463,0
238,445,470,1,53,1,970,0,7,977,0
239,336,409,1,89,2,837,0,6,843,0
240,219,217,1,31,1,469,0,2,471,0
241,172,332,1,18,1,524,0,4,528,0
