local_body,ward,votes_2025,LDF_share_2025,UDF_share_2025,NDA_share_2025,winner_2025,LDF_swing,UDF_swing,NDA_swing
Kochi,KUNNUMPURAM,2190,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,PONEKKARA,1184,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,EDAPPALLY,1961,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,CHANGAMPUZHA,1223,0.0,100.0,0.0,UDF,,,
Kochi,DHEVANKULANGARA,1559,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,PALARIVATTAM,1389,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Kochi,STADIUM,2117,0.0,100.0,0.0,UDF,,,
Kochi,KARANAKKODAM,1281,0.0,100.0,0.0,UDF,0.0,100.0,0.0
Kochi,PUTHIYAROAD,1845,0.0,100.0,0.0,UDF,,,
Kochi,PADIVATTAM,2020,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,VENNALA,1579,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,CHAKKARAPARAMBU,1791,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,CHALIKKAVATTAM,2095,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,THAMMANAM,2045,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,ELAMKULAM,1921,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,GIRINAGAR,1424,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,PONNURUNNI,1949,0.0,100.0,0.0,UDF,-100.0,100.0,0.0
Kochi,PONNURUNNI EAST,1327,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,VYTTILA,1587,0.0,0.0,0.0,LDF,0.0,-100.0,0.0
Kochi,POONITHURA,1442,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,VYTTILA JANATHA,2028,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,KADAVANTHRA,1950,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,PANAMPILLI NAGAR,1948,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,PERUMANOOR,1889,0.0,100.0,0.0,UDF,,,
Kochi,KONTHURUTHY,1716,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,THEVARA,975,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,ISLAND SOUTH,500,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,KADEBHAGAM,2548,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,PALLURUTHY EAST,1339,100.0,0.0,0.0,LDF,,,
Kochi,THAZHUPPU,2678,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Kochi,EADAKOCHI NORTH,2198,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Kochi,EDAKOCHI SOUTH,1307,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,PERUMBADAPPU,1201,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,KONAM,1665,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,PALLURUTHY-KACHERIPADY,2438,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,NAMBYAPURAM,1409,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,PALLURUTHY,1561,0.0,100.0,0.0,UDF,,,
Kochi,PULLARDESAM,1993,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,THAREBHAGAM,1427,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,THOPPUMPADY,2175,0.0,100.0,0.0,UDF,0.0,0.0,0.0
Kochi,MUNDAMVELY EAST,383,0.0,0.0,0.0,LDF,,,
Kochi,MUNDAMVELY,1842,0.0,100.0,0.0,UDF,,,
Kochi,MANASSERY,1509,100.0,0.0,0.0,LDF,100.0,0.0,0.0
Kochi,MOOLAMKUZHY,1276,100.0,0.0,0.0,LDF,100.0,-100.0,0.0
Kochi,CHULLICKAL,1405,0.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,NASRATHU,1738,100.0,0.0,0.0,LDF,0.0,0.0,0.0
Kochi,PANAYAPPILLY,1202,0.0,0.0,100.0,NDA,0.0,0.0,100.0
Kochi,AMARAVATHY,2097,0.0,0.0,100.0,NDA,0.0,0.0,0.0
Kochi,FORTKOCHI VELI,1722,100.0,0.0,0.0,LDF,0.0,0.0,0.0
